Dataset,#TrainingReleases,%TrainingData,%DefectiveTraining,%DefectiveTesting,Classifier,FeatureSelection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa,F1score,NPofB20,Cost
Apache Storm,6,13.619884,9.080153,90.27505,IBk,BestFirstBackward,None,Learning,267,49,50,652,0.8449367,0.29053319,0.31629682,-0.05498934,0.43238866,0.25244831338411317,6569
Apache Storm,6,13.619884,9.080153,90.27505,IBk,BestFirstBackward,Undersampling,None,332,67,32,587,0.8320802,0.36126223,0.31117487,-0.09436815,0.5037936,0.2850924918389554,5937
Apache Storm,6,13.619884,9.080153,90.27505,IBk,BestFirstBackward,SMOTE,None,425,87,12,494,0.8300781,0.4624592,0.29183567,-0.14689879,0.5939902,0.3373231773667029,5027
Apache Storm,6,13.619884,9.080153,90.27505,IBk,None,Undersampling,None,377,68,31,542,0.84719104,0.41022852,0.33039865,-0.08821292,0.55278593,0.31120783460282914,5488
Apache Storm,6,13.619884,9.080153,90.27505,IBk,None,SMOTE,None,408,79,20,511,0.8377823,0.44396082,0.3055528,-0.12013756,0.58036983,0.3220892274211099,5189
Apache Storm,7,17.720755,16.68561,13.7267475,NaiveBayes,None,None,None,139,1217,128,75,0.102507375,0.64953274,0.33958238,-0.07870668,0.17707007,0.2850467289719626,1967
Apache Storm,7,17.720755,16.68561,13.7267475,NaiveBayes,None,None,Learning,126,1180,165,88,0.09647779,0.58878505,0.33958414,-0.09173187,0.16578947,0.2897196261682243,2060
Apache Storm,7,17.720755,16.68561,13.7267475,NaiveBayes,BestFirstBackward,None,None,90,35,179,1255,0.72,0.0669145,0.4292447,-0.028448258,0.12244898,0.2570093457943925,12585
Apache Storm,7,17.720755,16.68561,13.7267475,NaiveBayes,BestFirstBackward,None,Learning,273,68,146,1072,0.8005865,0.20297398,0.4292447,-0.0386142,0.32384342,0.2850467289719626,10788
Apache Storm,7,17.720755,16.68561,13.7267475,NaiveBayes,BestFirstBackward,Undersampling,None,191,74,140,1154,0.72075474,0.14200744,0.42127994,-0.065277055,0.23726708,0.2523364485981308,11614
Apache Storm,7,17.720755,16.68561,13.7267475,NaiveBayes,BestFirstBackward,SMOTE,None,996,157,57,349,0.8638335,0.7405204,0.45048293,0.0049923565,0.79743797,0.29906542056074764,3647
Apache Storm,7,17.720755,16.68561,13.7267475,NaiveBayes,None,Undersampling,None,117,1175,170,97,0.09055728,0.54672897,0.325086,-0.10483721,0.15537849,0.2850467289719626,2145
Apache Storm,7,17.720755,16.68561,13.7267475,NaiveBayes,None,SMOTE,None,109,1082,263,105,0.09151973,0.50934577,0.34472433,-0.10108369,0.15516014,0.29906542056074764,2132
Apache Storm,7,17.720755,16.68561,13.7267475,RandomForest,None,None,None,37,287,1058,177,0.11419753,0.17289719,0.4926363,-0.033290956,0.13754646,0.2897196261682243,2057
Apache Storm,7,17.720755,16.68561,13.7267475,RandomForest,None,None,Learning,154,1178,167,60,0.115615614,0.7196262,0.34824723,-0.048868604,0.1992238,0.2850467289719626,1778
Apache Storm,7,17.720755,16.68561,13.7267475,RandomForest,BestFirstBackward,None,None,1132,185,29,213,0.85952926,0.8416357,0.4426189,-0.021658808,0.85048836,0.29906542056074764,2315
Apache Storm,7,17.720755,16.68561,13.7267475,RandomForest,BestFirstBackward,None,Learning,916,164,50,429,0.84814817,0.6810409,0.46162143,-0.056103956,0.7554639,0.2850467289719626,4454
Apache Storm,7,17.720755,16.68561,13.7267475,RandomForest,BestFirstBackward,Undersampling,None,960,166,48,385,0.8525755,0.71375465,0.36882535,-0.043310918,0.77701336,0.2850467289719626,4016
Apache Storm,7,17.720755,16.68561,13.7267475,RandomForest,BestFirstBackward,SMOTE,None,1256,204,10,89,0.86027396,0.933829,0.32180628,-0.025116978,0.8955437,0.29439252336448596,1094
Apache Storm,7,17.720755,16.68561,13.7267475,RandomForest,None,Undersampling,None,105,613,732,109,0.14623955,0.4906542,0.47510335,0.017531885,0.22532189,0.2757009345794392,1703
Apache Storm,7,17.720755,16.68561,13.7267475,RandomForest,None,SMOTE,None,118,674,671,96,0.1489899,0.55140185,0.48447,0.023546867,0.23459245,0.29906542056074764,1634
Apache Storm,7,17.720755,16.68561,13.7267475,IBk,None,None,None,145,693,652,69,0.17303103,0.6775701,0.55857974,0.072924696,0.2756654,0.3130841121495327,1383
Apache Storm,7,17.720755,16.68561,13.7267475,IBk,None,None,Learning,145,687,658,69,0.17427884,0.6775701,0.55859363,0.075327665,0.27724665,0.3177570093457944,1377
Apache Storm,7,17.720755,16.68561,13.7267475,IBk,BestFirstBackward,None,None,123,29,185,1222,0.80921054,0.09144981,0.32971546,-0.013177533,0.16432866,0.29906542056074764,12249
Apache Storm,7,17.720755,16.68561,13.7267475,IBk,BestFirstBackward,None,Learning,157,30,184,1188,0.8395722,0.116728626,0.3296842,-0.0071625654,0.20496084,0.29906542056074764,11910
Apache Storm,7,17.720755,16.68561,13.7267475,IBk,BestFirstBackward,Undersampling,None,343,72,142,1002,0.826506,0.2550186,0.420929,-0.028802635,0.3897727,0.21962616822429906,10092
Apache Storm,7,17.720755,16.68561,13.7267475,IBk,BestFirstBackward,SMOTE,None,399,99,115,946,0.8012048,0.29665428,0.33010805,-0.062295865,0.4329897,0.35514018691588783,9559
Apache Storm,7,17.720755,16.68561,13.7267475,IBk,None,Undersampling,None,103,483,862,111,0.17576791,0.4813084,0.5459438,0.070600726,0.2575,0.3177570093457944,1593
Apache Storm,7,17.720755,16.68561,13.7267475,IBk,None,SMOTE,None,100,424,921,114,0.1908397,0.46728972,0.56648713,0.094495125,0.2710027,0.29439252336448596,1564
Apache Storm,8,24.000967,27.962404,13.316261,NaiveBayes,None,None,None,0,0,1354,208,NaN,0.0,0.32163602,0.0,NaN,0.28365384615384615,2080
Apache Storm,8,24.000967,27.962404,13.316261,NaiveBayes,None,None,Learning,0,0,1354,208,NaN,0.0,0.32163602,0.0,NaN,0.28365384615384615,2080
Apache Storm,8,24.000967,27.962404,13.316261,NaiveBayes,BestFirstBackward,None,None,1354,208,0,0,0.8668374,1.0,0.47231138,0.0,0.9286694,0.28365384615384615,208
Apache Storm,8,24.000967,27.962404,13.316261,NaiveBayes,BestFirstBackward,None,Learning,1354,208,0,0,0.8668374,1.0,0.47231138,0.0,0.9286694,0.28365384615384615,208
Apache Storm,8,24.000967,27.962404,13.316261,NaiveBayes,BestFirstBackward,Undersampling,None,1354,208,0,0,0.8668374,1.0,0.47229007,0.0,0.9286694,0.28365384615384615,208
Apache Storm,8,24.000967,27.962404,13.316261,NaiveBayes,BestFirstBackward,SMOTE,None,1354,208,0,0,0.8668374,1.0,0.45156267,0.0,0.9286694,0.28365384615384615,208
Apache Storm,8,24.000967,27.962404,13.316261,NaiveBayes,None,Undersampling,None,168,1327,27,40,0.11237458,0.8076923,0.35551357,-0.04763498,0.19729888,0.28365384615384615,1727
Apache Storm,8,24.000967,27.962404,13.316261,NaiveBayes,None,SMOTE,None,0,0,1354,208,NaN,0.0,0.22325766,0.0,NaN,0.28365384615384615,2080
Apache Storm,8,24.000967,27.962404,13.316261,RandomForest,None,None,None,145,1242,112,63,0.10454218,0.69711536,0.43278995,-0.06477859,0.18181819,0.2932692307692308,1872
Apache Storm,8,24.000967,27.962404,13.316261,RandomForest,None,None,Learning,29,92,1262,179,0.23966943,0.13942307,0.49338853,0.08684923,0.1762918,0.3125,1882
Apache Storm,8,24.000967,27.962404,13.316261,RandomForest,BestFirstBackward,None,None,0,6,202,1354,0.0,0.0,0.464324,-0.0077075167,0.0,0.3076923076923077,13546
Apache Storm,8,24.000967,27.962404,13.316261,RandomForest,BestFirstBackward,None,Learning,1326,202,6,28,0.8678011,0.9793205,0.47369084,0.012642225,0.9201943,0.2980769230769231,482
Apache Storm,8,24.000967,27.962404,13.316261,RandomForest,BestFirstBackward,Undersampling,None,4,8,200,1350,0.33333334,0.0029542097,0.5044863,-0.009518389,0.0058565154,0.2932692307692308,13508
Apache Storm,8,24.000967,27.962404,13.316261,RandomForest,BestFirstBackward,SMOTE,None,1344,201,7,10,0.8699029,0.99261445,0.48205638,0.042964417,0.9272163,0.2932692307692308,301
Apache Storm,8,24.000967,27.962404,13.316261,RandomForest,None,Undersampling,None,70,716,638,138,0.089058526,0.33653846,0.3851196,-0.08835787,0.14084508,0.2548076923076923,2096
Apache Storm,8,24.000967,27.962404,13.316261,RandomForest,None,SMOTE,None,79,350,1004,129,0.18414919,0.37980768,0.48508337,0.08368584,0.24803768,0.3125,1640
Apache Storm,8,24.000967,27.962404,13.316261,IBk,None,None,None,141,1207,147,67,0.10459941,0.67788464,0.4860545,-0.06433318,0.18123393,0.27884615384615385,1877
Apache Storm,8,24.000967,27.962404,13.316261,IBk,None,None,Learning,64,125,1229,144,0.33862433,0.30769232,0.4884193,0.22403368,0.32241812,0.2980769230769231,1565
Apache Storm,8,24.000967,27.962404,13.316261,IBk,BestFirstBackward,None,None,0,3,205,1354,0.0,0.0,0.5030696,-0.0038474835,0.0,0.28846153846153844,13543
Apache Storm,8,24.000967,27.962404,13.316261,IBk,BestFirstBackward,None,Learning,1320,194,14,34,0.8718626,0.9748892,0.5030696,0.06256317,0.92050207,0.28365384615384615,534
Apache Storm,8,24.000967,27.962404,13.316261,IBk,BestFirstBackward,Undersampling,None,0,5,203,1354,0.0,0.0,0.52577657,-0.0064194407,0.0,0.27884615384615385,13545
Apache Storm,8,24.000967,27.962404,13.316261,IBk,BestFirstBackward,SMOTE,None,1344,202,6,10,0.86934024,0.99261445,0.47224924,0.03521816,0.9268966,0.2932692307692308,302
Apache Storm,8,24.000967,27.962404,13.316261,IBk,None,Undersampling,None,66,566,788,142,0.10443038,0.31730768,0.4036118,-0.05406951,0.15714286,0.27403846153846156,1986
Apache Storm,8,24.000967,27.962404,13.316261,IBk,None,SMOTE,None,76,330,1024,132,0.18719211,0.3653846,0.4571906,0.08672542,0.247557,0.30288461538461536,1650
Apache Storm,9,30.293264,22.327127,13.572343,NaiveBayes,None,None,None,1,0,1350,211,1.0,0.004716981,0.24914744,0.008125628,0.0093896715,0.2830188679245283,2110
